species,factor,value,score
Picea sitchensis,at,550,0.2
Picea sitchensis,at,775,0.5
Picea sitchensis,at,975,0.75
Picea sitchensis,at,1200,0.9
Picea sitchensis,at,1475,1
Picea sitchensis,at,1800,1
Picea sitchensis,at,2100,1
Picea sitchensis,at,2400,0.9
Picea sitchensis,at,2700,0.75
Picea sitchensis,at,3000,0.5
Picea abies,at,550,0.1
Picea abies,at,775,0.5
Picea abies,at,975,0.75
Picea abies,at,1200,1
Picea abies,at,1475,1.15
Picea abies,at,1800,1.2
Picea abies,at,2100,1.1
Picea abies,at,2400,0.95
Picea abies,at,2700,0.75
Picea abies,at,3000,0.5
Pinus sylvestris,at,550,0.3
Pinus sylvestris,at,775,0.6
Pinus sylvestris,at,975,0.85
Pinus sylvestris,at,1200,1
Pinus sylvestris,at,1475,1
Pinus sylvestris,at,1800,1
Pinus sylvestris,at,2100,1
Pinus sylvestris,at,2400,1
Pinus sylvestris,at,2700,1
Pinus sylvestris,at,3000,1
Pinus nigra ssp. Laricio,at,550,0
Pinus nigra ssp. Laricio,at,775,0.1
Pinus nigra ssp. Laricio,at,975,0.3
Pinus nigra ssp. Laricio,at,1200,0.5
Pinus nigra ssp. Laricio,at,1475,0.75
Pinus nigra ssp. Laricio,at,1800,1
Pinus nigra ssp. Laricio,at,2100,1.1
Pinus nigra ssp. Laricio,at,2400,1.2
Pinus nigra ssp. Laricio,at,2700,1.1
Pinus nigra ssp. Laricio,at,3000,1
Pinus contorta,at,550,0.3
Pinus contorta,at,775,0.5
Pinus contorta,at,975,0.75
Pinus contorta,at,1200,1
Pinus contorta,at,1475,1.1
Pinus contorta,at,1800,1.13
Pinus contorta,at,2100,1.1
Pinus contorta,at,2400,1
Pinus contorta,at,2700,0.75
Pinus contorta,at,3000,0.5
Pinus peuce,at,550,0.5
Pinus peuce,at,775,0.75
Pinus peuce,at,975,1.1
Pinus peuce,at,1200,1.1
Pinus peuce,at,1475,1.1
Pinus peuce,at,1800,1.1
Pinus peuce,at,2100,1.1
Pinus peuce,at,2400,1.1
Pinus peuce,at,2700,0.9
Pinus peuce,at,3000,0.75
Larix decidua,at,550,0.2
Larix decidua,at,775,0.5
Larix decidua,at,975,0.75
Larix decidua,at,1200,NA
Larix decidua,at,1475,NA
Larix decidua,at,1800,NA
Larix decidua,at,2100,NA
Larix decidua,at,2400,NA
Larix decidua,at,2700,NA
Larix decidua,at,3000,1
Larix kaempferi,at,550,0.2
Larix kaempferi,at,775,0.5
Larix kaempferi,at,975,0.75
Larix kaempferi,at,1200,1
Larix kaempferi,at,1475,1.1
Larix kaempferi,at,1800,1.1
Larix kaempferi,at,2100,1
Larix kaempferi,at,2400,0.7
Larix kaempferi,at,2700,0.5
Larix kaempferi,at,3000,0.1
Larix eurolepsis,at,550,0.2
Larix eurolepsis,at,775,0.5
Larix eurolepsis,at,975,0.75
Larix eurolepsis,at,1200,1
Larix eurolepsis,at,1475,1
Larix eurolepsis,at,1800,1
Larix eurolepsis,at,2100,0.8
Larix eurolepsis,at,2400,0.55
Larix eurolepsis,at,2700,0
Larix eurolepsis,at,3000,NA
Pseudotsuga menziesii,at,550,0
Pseudotsuga menziesii,at,775,0.2
Pseudotsuga menziesii,at,975,0.5
Pseudotsuga menziesii,at,1200,0.7
Pseudotsuga menziesii,at,1475,1
Pseudotsuga menziesii,at,1800,1.1
Pseudotsuga menziesii,at,2100,1.1
Pseudotsuga menziesii,at,2400,1
Pseudotsuga menziesii,at,2700,0.9
Pseudotsuga menziesii,at,3000,0.7
Abies procera,at,550,0.4
Abies procera,at,775,0.7
Abies procera,at,975,0.9
Abies procera,at,1200,1
Abies procera,at,1475,1.2
Abies procera,at,1800,1
Abies procera,at,2100,0.5
Abies procera,at,2400,0
Abies procera,at,2700,NA
Abies procera,at,3000,NA
Abies amabilis,at,550,NA
Abies amabilis,at,775,0.3
Abies amabilis,at,975,0.6
Abies amabilis,at,1200,1
Abies amabilis,at,1475,1.1
Abies amabilis,at,1800,1.1
Abies amabilis,at,2100,1
Abies amabilis,at,2400,0.9
Abies amabilis,at,2700,0.6
Abies amabilis,at,3000,0.3
Tsuga heterophyla,at,550,0
Tsuga heterophyla,at,775,0.3
Tsuga heterophyla,at,975,0.7
Tsuga heterophyla,at,1200,1
Tsuga heterophyla,at,1475,1.1
Tsuga heterophyla,at,1800,1.2
Tsuga heterophyla,at,2100,1
Tsuga heterophyla,at,2400,0.8
Tsuga heterophyla,at,2700,0.6
Tsuga heterophyla,at,3000,0
Thuja plicata,at,550,NA
Thuja plicata,at,775,0.3
Thuja plicata,at,975,0.6
Thuja plicata,at,1200,0.9
Thuja plicata,at,1475,1
Thuja plicata,at,1800,1
Thuja plicata,at,2100,1
Thuja plicata,at,2400,1
Thuja plicata,at,2700,1
Thuja plicata,at,3000,1
Sequoia sempervirens A1,at,550,NA
Sequoia sempervirens A1,at,775,NA
Sequoia sempervirens A1,at,975,0.3
Sequoia sempervirens A1,at,1200,0.6
Sequoia sempervirens A1,at,1475,0.9
Sequoia sempervirens A1,at,1800,1
Sequoia sempervirens A1,at,2100,1
Sequoia sempervirens A1,at,2400,1
Sequoia sempervirens A1,at,2700,1
Sequoia sempervirens A1,at,3000,1
Master,at,550,0.2
Master,at,775,0.5
Master,at,975,0.75
Master,at,1200,1
Master,at,1475,1
Master,at,1800,1
Master,at,2100,1
Master,at,2400,1
Master,at,2700,1
Master,at,3000,1
Quercus robur,at,550,NA
Quercus robur,at,775,0
Quercus robur,at,975,0.55
Quercus robur,at,1200,0.74
Quercus robur,at,1475,0.85
Quercus robur,at,1800,1
Quercus robur,at,2100,1
Quercus robur,at,2400,1
Quercus robur,at,2700,0.9
Quercus robur,at,3000,0.7
Quercus petraea,at,550,NA
Quercus petraea,at,775,0
Quercus petraea,at,975,0.5
Quercus petraea,at,1200,0.75
Quercus petraea,at,1475,1
Quercus petraea,at,1800,1.1
Quercus petraea,at,2100,1.1
Quercus petraea,at,2400,1
Quercus petraea,at,2700,0.9
Quercus petraea,at,3000,0.75
Fagus sylvatica,at,550,NA
Fagus sylvatica,at,775,0.5
Fagus sylvatica,at,975,0.6
Fagus sylvatica,at,1200,0.75
Fagus sylvatica,at,1475,1
Fagus sylvatica,at,1800,1
Fagus sylvatica,at,2100,1
Fagus sylvatica,at,2400,0.75
Fagus sylvatica,at,2700,0.5
Fagus sylvatica,at,3000,0.1
Fraxinus excelsior,at,550,0
Fraxinus excelsior,at,775,0.3
Fraxinus excelsior,at,975,0.5
Fraxinus excelsior,at,1200,0.9
Fraxinus excelsior,at,1475,1.1
Fraxinus excelsior,at,1800,1.2
Fraxinus excelsior,at,2100,1.1
Fraxinus excelsior,at,2400,0.95
Fraxinus excelsior,at,2700,0.75
Fraxinus excelsior,at,3000,0.3
Acer pseudoplatanus,at,550,NA
Acer pseudoplatanus,at,775,NA
Acer pseudoplatanus,at,975,NA
Acer pseudoplatanus,at,1200,0.5
Acer pseudoplatanus,at,1475,0.8
Acer pseudoplatanus,at,1800,1
Acer pseudoplatanus,at,2100,1
Acer pseudoplatanus,at,2400,1
Acer pseudoplatanus,at,2700,0.75
Acer pseudoplatanus,at,3000,0.5
Ulmus glabra,at,550,NA
Ulmus glabra,at,775,0
Ulmus glabra,at,975,0.5
Ulmus glabra,at,1200,0.75
Ulmus glabra,at,1475,1
Ulmus glabra,at,1800,1
Ulmus glabra,at,2100,1
Ulmus glabra,at,2400,1
Ulmus glabra,at,2700,1
Ulmus glabra,at,3000,0.75
Castanea sativa,at,550,NA
Castanea sativa,at,775,NA
Castanea sativa,at,975,0.3
Castanea sativa,at,1200,0.6
Castanea sativa,at,1475,1
Castanea sativa,at,1800,1.1
Castanea sativa,at,2100,1.1
Castanea sativa,at,2400,1.1
Castanea sativa,at,2700,1.1
Castanea sativa,at,3000,1
Betula pendula,at,550,0.2
Betula pendula,at,775,0.5
Betula pendula,at,975,0.8
Betula pendula,at,1200,1.1
Betula pendula,at,1475,1.2
Betula pendula,at,1800,1.2
Betula pendula,at,2100,1.1
Betula pendula,at,2400,0.8
Betula pendula,at,2700,0.6
Betula pendula,at,3000,0.3
Betula pubescens,at,550,0.5
Betula pubescens,at,775,0.7
Betula pubescens,at,975,0.85
Betula pubescens,at,1200,1
Betula pubescens,at,1475,1
Betula pubescens,at,1800,1
Betula pubescens,at,2100,0.8
Betula pubescens,at,2400,0.6
Betula pubescens,at,2700,0.3
Betula pubescens,at,3000,0
Populus tremula,at,550,0
Populus tremula,at,775,0.5
Populus tremula,at,975,0.75
Populus tremula,at,1200,1
Populus tremula,at,1475,1.1
Populus tremula,at,1800,1.1
Populus tremula,at,2100,1
Populus tremula,at,2400,0.75
Populus tremula,at,2700,0.6
Populus tremula,at,3000,0.4
Populus nigra,at,550,NA
Populus nigra,at,775,0.5
Populus nigra,at,975,0.7
Populus nigra,at,1200,0.9
Populus nigra,at,1475,1
Populus nigra,at,1800,1
Populus nigra,at,2100,1
Populus nigra,at,2400,1
Populus nigra,at,2700,0.7
Populus nigra,at,3000,0.5
Alnus glutinosa,at,550,NA
Alnus glutinosa,at,775,0.5
Alnus glutinosa,at,975,0.65
Alnus glutinosa,at,1200,0.8
Alnus glutinosa,at,1475,1
Alnus glutinosa,at,1800,1
Alnus glutinosa,at,2100,1
Alnus glutinosa,at,2400,1
Alnus glutinosa,at,2700,0.8
Alnus glutinosa,at,3000,0.6
Carpinus betulus,at,550,NA
Carpinus betulus,at,775,NA
Carpinus betulus,at,975,NA
Carpinus betulus,at,1200,0.5
Carpinus betulus,at,1475,0.75
Carpinus betulus,at,1800,1
Carpinus betulus,at,2100,1
Carpinus betulus,at,2400,1
Carpinus betulus,at,2700,1
Carpinus betulus,at,3000,0.9
Tilia cordata,at,550,NA
Tilia cordata,at,775,NA
Tilia cordata,at,975,0.5
Tilia cordata,at,1200,0.7
Tilia cordata,at,1475,0.9
Tilia cordata,at,1800,1
Tilia cordata,at,2100,1
Tilia cordata,at,2400,1
Tilia cordata,at,2700,0.75
Tilia cordata,at,3000,0.5
Acer platanoides,at,550,0
Acer platanoides,at,775,0.5
Acer platanoides,at,975,0.7
Acer platanoides,at,1200,0.9
Acer platanoides,at,1475,1.05
Acer platanoides,at,1800,1.1
Acer platanoides,at,2100,1
Acer platanoides,at,2400,0.75
Acer platanoides,at,2700,0.6
Acer platanoides,at,3000,0.5
Prunus avium,at,550,NA
Prunus avium,at,775,NA
Prunus avium,at,975,0.5
Prunus avium,at,1200,0.75
Prunus avium,at,1475,1
Prunus avium,at,1800,1.1
Prunus avium,at,2100,1.1
Prunus avium,at,2400,1
Prunus avium,at,2700,0.75
Prunus avium,at,3000,0.55
Nothofagus procera,at,550,NA
Nothofagus procera,at,775,NA
Nothofagus procera,at,975,NA
Nothofagus procera,at,1200,0.75
Nothofagus procera,at,1475,1
Nothofagus procera,at,1800,1
Nothofagus procera,at,2100,1
Nothofagus procera,at,2400,0.8
Nothofagus procera,at,2700,0.6
Nothofagus procera,at,3000,NA
Pinus pinaster,at,550,NA
Pinus pinaster,at,775,NA
Pinus pinaster,at,975,NA
Pinus pinaster,at,1200,0.5
Pinus pinaster,at,1475,0.75
Pinus pinaster,at,1800,1
Pinus pinaster,at,2100,1.1
Pinus pinaster,at,2400,1.15
Pinus pinaster,at,2700,1
Pinus pinaster,at,3000,0.9
Pinus radiata,at,550,0
Pinus radiata,at,775,NA
Pinus radiata,at,975,NA
Pinus radiata,at,1200,NA
Pinus radiata,at,1475,0.5
Pinus radiata,at,1800,0.75
Pinus radiata,at,2100,1
Pinus radiata,at,2400,1.1
Pinus radiata,at,2700,1.1
Pinus radiata,at,3000,1.1
Pinus strobus,at,550,NA
Pinus strobus,at,775,0.3
Pinus strobus,at,975,0.7
Pinus strobus,at,1200,0.9
Pinus strobus,at,1475,1
Pinus strobus,at,1800,1
Pinus strobus,at,2100,1
Pinus strobus,at,2400,0.9
Pinus strobus,at,2700,0.7
Pinus strobus,at,3000,0.5
Picea omorika,at,550,0.1
Picea omorika,at,775,0.5
Picea omorika,at,975,NA
Picea omorika,at,1200,0.9
Picea omorika,at,1475,1.1
Picea omorika,at,1800,1.1
Picea omorika,at,2100,NA
Picea omorika,at,2400,0.8
Picea omorika,at,2700,0.7
Picea omorika,at,3000,0.6
Picea orientalis,at,550,NA
Picea orientalis,at,775,NA
Picea orientalis,at,975,0.5
Picea orientalis,at,1200,0.7
Picea orientalis,at,1475,0.95
Picea orientalis,at,1800,1.1
Picea orientalis,at,2100,1.15
Picea orientalis,at,2400,1.2
Picea orientalis,at,2700,1.1
Picea orientalis,at,3000,0.7
Abies grandis,at,550,NA
Abies grandis,at,775,NA
Abies grandis,at,975,0.5
Abies grandis,at,1200,0.8
Abies grandis,at,1475,1
Abies grandis,at,1800,1.1
Abies grandis,at,2100,1.2
Abies grandis,at,2400,1.1
Abies grandis,at,2700,1
Abies grandis,at,3000,0.75
Abies alba,at,550,0.4
Abies alba,at,775,0.5
Abies alba,at,975,0.6
Abies alba,at,1200,0.7
Abies alba,at,1475,0.9
Abies alba,at,1800,1.1
Abies alba,at,2100,1.2
Abies alba,at,2400,0.9
Abies alba,at,2700,0.5
Abies alba,at,3000,NA
Abies nordmanniana,at,550,0.3
Abies nordmanniana,at,775,0.45
Abies nordmanniana,at,975,0.55
Abies nordmanniana,at,1200,0.7
Abies nordmanniana,at,1475,0.9
Abies nordmanniana,at,1800,1.2
Abies nordmanniana,at,2100,1.1
Abies nordmanniana,at,2400,0.95
Abies nordmanniana,at,2700,0.7
Abies nordmanniana,at,3000,0.35
Sequoiadendron giganteum,at,550,NA
Sequoiadendron giganteum,at,775,NA
Sequoiadendron giganteum,at,975,0.5
Sequoiadendron giganteum,at,1200,0.8
Sequoiadendron giganteum,at,1475,1.1
Sequoiadendron giganteum,at,1800,1.2
Sequoiadendron giganteum,at,2100,1.1
Sequoiadendron giganteum,at,2400,0.9
Sequoiadendron giganteum,at,2700,0.7
Sequoiadendron giganteum,at,3000,0.5
Cryptomeria japonica,at,550,NA
Cryptomeria japonica,at,775,0.5
Cryptomeria japonica,at,975,0.7
Cryptomeria japonica,at,1200,0.9
Cryptomeria japonica,at,1475,1.1
Cryptomeria japonica,at,1800,NA
Cryptomeria japonica,at,2100,NA
Cryptomeria japonica,at,2400,1
Cryptomeria japonica,at,2700,NA
Cryptomeria japonica,at,3000,0.75
Chamaecyparis lawsoniana,at,550,0.3
Chamaecyparis lawsoniana,at,775,0.5
Chamaecyparis lawsoniana,at,975,0.65
Chamaecyparis lawsoniana,at,1200,0.8
Chamaecyparis lawsoniana,at,1475,1
Chamaecyparis lawsoniana,at,1800,NA
Chamaecyparis lawsoniana,at,2100,NA
Chamaecyparis lawsoniana,at,2400,NA
Chamaecyparis lawsoniana,at,2700,NA
Chamaecyparis lawsoniana,at,3000,0.8
Cupressocyparis x leyandii,at,550,0.2
Cupressocyparis x leyandii,at,775,0.5
Cupressocyparis x leyandii,at,975,0.75
Cupressocyparis x leyandii,at,1200,1
Cupressocyparis x leyandii,at,1475,1.1
Cupressocyparis x leyandii,at,1800,1.2
Cupressocyparis x leyandii,at,2100,1.1
Cupressocyparis x leyandii,at,2400,0.85
Cupressocyparis x leyandii,at,2700,0.6
Cupressocyparis x leyandii,at,3000,0.3
Sequoia sempervirens C,at,550,0
Sequoia sempervirens C,at,775,NA
Sequoia sempervirens C,at,975,0.5
Sequoia sempervirens C,at,1200,0.7
Sequoia sempervirens C,at,1475,0.9
Sequoia sempervirens C,at,1800,1
Sequoia sempervirens C,at,2100,1.1
Sequoia sempervirens C,at,2400,1.1
Sequoia sempervirens C,at,2700,1.1
Sequoia sempervirens C,at,3000,1.1
Alnus rubra,at,550,0
Alnus rubra,at,775,0.5
Alnus rubra,at,975,0.8
Alnus rubra,at,1200,1
Alnus rubra,at,1475,1.1
Alnus rubra,at,1800,1.1
Alnus rubra,at,2100,1
Alnus rubra,at,2400,0.75
Alnus rubra,at,2700,0.6
Alnus rubra,at,3000,0.5
Alnus cordata,at,550,NA
Alnus cordata,at,775,NA
Alnus cordata,at,975,NA
Alnus cordata,at,1200,0.5
Alnus cordata,at,1475,0.9
Alnus cordata,at,1800,1.1
Alnus cordata,at,2100,1.1
Alnus cordata,at,2400,1.2
Alnus cordata,at,2700,0.85
Alnus cordata,at,3000,0.5
Alnus incana,at,550,NA
Alnus incana,at,775,0.3
Alnus incana,at,975,0.75
Alnus incana,at,1200,1
Alnus incana,at,1475,1.1
Alnus incana,at,1800,1.2
Alnus incana,at,2100,1
Alnus incana,at,2400,0.75
Alnus incana,at,2700,0.5
Alnus incana,at,3000,NA
Eucalyptus gunnii,at,550,NA
Eucalyptus gunnii,at,775,NA
Eucalyptus gunnii,at,975,0.5
Eucalyptus gunnii,at,1200,0.9
Eucalyptus gunnii,at,1475,1.1
Eucalyptus gunnii,at,1800,1.1
Eucalyptus gunnii,at,2100,1
Eucalyptus gunnii,at,2400,0.75
Eucalyptus gunnii,at,2700,0.5
Eucalyptus gunnii,at,3000,NA
Euclayptus nitens,at,550,NA
Euclayptus nitens,at,775,NA
Euclayptus nitens,at,975,0.5
Euclayptus nitens,at,1200,0.9
Euclayptus nitens,at,1475,1.1
Euclayptus nitens,at,1800,1.1
Euclayptus nitens,at,2100,1.15
Euclayptus nitens,at,2400,1
Euclayptus nitens,at,2700,0.75
Euclayptus nitens,at,3000,0.5
Nothofagus obliqua,at,550,NA
Nothofagus obliqua,at,775,NA
Nothofagus obliqua,at,975,NA
Nothofagus obliqua,at,1200,0.5
Nothofagus obliqua,at,1475,0.85
Nothofagus obliqua,at,1800,1.1
Nothofagus obliqua,at,2100,1
Nothofagus obliqua,at,2400,0.75
Nothofagus obliqua,at,2700,0.5
Nothofagus obliqua,at,3000,NA
Quercus rubra,at,550,NA
Quercus rubra,at,775,NA
Quercus rubra,at,975,0.5
Quercus rubra,at,1200,0.8
Quercus rubra,at,1475,1
Quercus rubra,at,1800,1.1
Quercus rubra,at,2100,1.2
Quercus rubra,at,2400,1.1
Quercus rubra,at,2700,1
Quercus rubra,at,3000,0.75
Acer macrophyllum,at,550,NA
Acer macrophyllum,at,775,0.5
Acer macrophyllum,at,975,0.75
Acer macrophyllum,at,1200,0.9
Acer macrophyllum,at,1475,1.1
Acer macrophyllum,at,1800,1.2
Acer macrophyllum,at,2100,1.2
Acer macrophyllum,at,2400,1
Acer macrophyllum,at,2700,0.75
Acer macrophyllum,at,3000,0.5
Sorbus aucuparia,at,550,0.5
Sorbus aucuparia,at,775,0.65
Sorbus aucuparia,at,975,0.8
Sorbus aucuparia,at,1200,0.95
Sorbus aucuparia,at,1475,1.1
Sorbus aucuparia,at,1800,1.2
Sorbus aucuparia,at,2100,1.1
Sorbus aucuparia,at,2400,0.9
Sorbus aucuparia,at,2700,0.7
Sorbus aucuparia,at,3000,0.5
Sorbus torminalis,at,550,NA
Sorbus torminalis,at,775,NA
Sorbus torminalis,at,975,NA
Sorbus torminalis,at,1200,0.5
Sorbus torminalis,at,1475,0.85
Sorbus torminalis,at,1800,1
Sorbus torminalis,at,2100,1.1
Sorbus torminalis,at,2400,1.1
Sorbus torminalis,at,2700,0.9
Sorbus torminalis,at,3000,0.75
Sorbus domestica,at,550,0.3
Sorbus domestica,at,775,0.5
Sorbus domestica,at,975,0.65
Sorbus domestica,at,1200,0.8
Sorbus domestica,at,1475,1
Sorbus domestica,at,1800,NA
Sorbus domestica,at,2100,NA
Sorbus domestica,at,2400,NA
Sorbus domestica,at,2700,NA
Sorbus domestica,at,3000,0.8
Juglans regia,at,550,0
Juglans regia,at,775,0
Juglans regia,at,975,0
Juglans regia,at,1200,0
Juglans regia,at,1475,0.5
Juglans regia,at,1800,0.85
Juglans regia,at,2100,1.1
Juglans regia,at,2400,1.1
Juglans regia,at,2700,1
Juglans regia,at,3000,0.75
Juglans nigra,at,550,NA
Juglans nigra,at,775,NA
Juglans nigra,at,975,NA
Juglans nigra,at,1200,NA
Juglans nigra,at,1475,0.5
Juglans nigra,at,1800,0.85
Juglans nigra,at,2100,1
Juglans nigra,at,2400,1.1
Juglans nigra,at,2700,1.1
Juglans nigra,at,3000,1
Picea sitchensis,ct,1,1
Picea sitchensis,ct,2,1
Picea sitchensis,ct,3,1
Picea sitchensis,ct,4,1
Picea sitchensis,ct,5,1
Picea sitchensis,ct,6,1
Picea sitchensis,ct,7,0.9
Picea sitchensis,ct,8,0.8
Picea sitchensis,ct,9,0.7
Picea sitchensis,ct,10,0.6
Picea sitchensis,ct,11,0.5
Picea sitchensis,ct,12,0.4
Picea abies,ct,1,0.1
Picea abies,ct,2,0.2
Picea abies,ct,3,0.3
Picea abies,ct,4,0.4
Picea abies,ct,5,0.5
Picea abies,ct,6,0.6
Picea abies,ct,7,0.75
Picea abies,ct,8,0.9
Picea abies,ct,9,1
Picea abies,ct,10,1
Picea abies,ct,11,1
Picea abies,ct,12,1
Pinus sylvestris,ct,1,0.5
Pinus sylvestris,ct,2,0.6
Pinus sylvestris,ct,3,0.75
Pinus sylvestris,ct,4,0.9
Pinus sylvestris,ct,5,1
Pinus sylvestris,ct,6,1
Pinus sylvestris,ct,7,1
Pinus sylvestris,ct,8,1
Pinus sylvestris,ct,9,1
Pinus sylvestris,ct,10,1
Pinus sylvestris,ct,11,1
Pinus sylvestris,ct,12,1
Pinus nigra ssp. Laricio,ct,1,NA
Pinus nigra ssp. Laricio,ct,2,0.1
Pinus nigra ssp. Laricio,ct,3,0.3
Pinus nigra ssp. Laricio,ct,4,0.5
Pinus nigra ssp. Laricio,ct,5,0.75
Pinus nigra ssp. Laricio,ct,6,1
Pinus nigra ssp. Laricio,ct,7,1.1
Pinus nigra ssp. Laricio,ct,8,1.1
Pinus nigra ssp. Laricio,ct,9,1.1
Pinus nigra ssp. Laricio,ct,10,1.1
Pinus nigra ssp. Laricio,ct,11,1.1
Pinus nigra ssp. Laricio,ct,12,1.1
Pinus contorta,ct,1,1
Pinus contorta,ct,2,1
Pinus contorta,ct,3,1
Pinus contorta,ct,4,1
Pinus contorta,ct,5,1
Pinus contorta,ct,6,1
Pinus contorta,ct,7,1
Pinus contorta,ct,8,1
Pinus contorta,ct,9,1
Pinus contorta,ct,10,1
Pinus contorta,ct,11,1
Pinus contorta,ct,12,1
Pinus peuce,ct,1,0.3
Pinus peuce,ct,2,0.5
Pinus peuce,ct,3,0.75
Pinus peuce,ct,4,0.9
Pinus peuce,ct,5,1
Pinus peuce,ct,6,1.1
Pinus peuce,ct,7,1.1
Pinus peuce,ct,8,1.1
Pinus peuce,ct,9,1.1
Pinus peuce,ct,10,1.1
Pinus peuce,ct,11,1
Pinus peuce,ct,12,1
Larix decidua,ct,1,0.1
Larix decidua,ct,2,0.3
Larix decidua,ct,3,0.4
Larix decidua,ct,4,0.6
Larix decidua,ct,5,0.75
Larix decidua,ct,6,0.9
Larix decidua,ct,7,1
Larix decidua,ct,8,1
Larix decidua,ct,9,1
Larix decidua,ct,10,1
Larix decidua,ct,11,1
Larix decidua,ct,12,1
Larix kaempferi,ct,1,0.1
Larix kaempferi,ct,2,0.2
Larix kaempferi,ct,3,0.4
Larix kaempferi,ct,4,0.6
Larix kaempferi,ct,5,0.8
Larix kaempferi,ct,6,1.05
Larix kaempferi,ct,7,1.1
Larix kaempferi,ct,8,1
Larix kaempferi,ct,9,0.75
Larix kaempferi,ct,10,0.6
Larix kaempferi,ct,11,0.5
Larix kaempferi,ct,12,NA
Larix eurolepsis,ct,1,0.3
Larix eurolepsis,ct,2,0.4
Larix eurolepsis,ct,3,0.5
Larix eurolepsis,ct,4,0.65
Larix eurolepsis,ct,5,0.8
Larix eurolepsis,ct,6,0.9
Larix eurolepsis,ct,7,1
Larix eurolepsis,ct,8,1
Larix eurolepsis,ct,9,1
Larix eurolepsis,ct,10,1
Larix eurolepsis,ct,11,1
Larix eurolepsis,ct,12,1
Pseudotsuga menziesii,ct,1,NA
Pseudotsuga menziesii,ct,2,0.1
Pseudotsuga menziesii,ct,3,0.2
Pseudotsuga menziesii,ct,4,0.4
Pseudotsuga menziesii,ct,5,0.6
Pseudotsuga menziesii,ct,6,0.8
Pseudotsuga menziesii,ct,7,1
Pseudotsuga menziesii,ct,8,1
Pseudotsuga menziesii,ct,9,1
